,,,,,,,,,RESOURCES AVAILABLE,,,,,,,,
Sanofi,https://www.sanofi.com/en/science-and-innovation/research-and-development,Neuroscience,"Small Molecules, Biologics, Biomarkers, Targets

",Neuroprotection and reymelination in muliple sclerosis,"Sanofi is interested in drug candidates and novel mechanisms of action that prevent irreversible damage to neurons and glia, promote remyelination by oligodendrocyes, andn enahance regeneration","Debilitating neurodegenerative diseases of the central nervoous system, including Multiple Sclerosis, Parkinsons's Disease, Amyotrophic Lateral Sclerosis (ALS) and Huntington's Disease, represent significant unmet medical need around the globe. We are committed to slowing or halting neurodegeneration, moodulating neuroinflammation and facilitating neuroprotection, repair and remyelination",,,,,,,Yes,,,,
Sanofi,https://www.sanofi.com/en/science-and-innovation/research-and-development,Neuroscience,"Small Molecules, Biologics, Biomarkers, Targets

",Symptom management in multiple sclerosis,"Sanofi is interested in drug candidates targeting multiple sclerosis-related cognitive and behavioral symptoms, preferably with clinical proof of concept","Debilitating neurodegenerative diseases of the central nervous system, including Multiple Sclerosis, Parkinsons's disease, Amyotrophic Lateral Sclerosis (ALS) and Huntington's Disease, represent significant unmet medical needs around the globe. We are committed to slowing or halting neurodegeneration, modulating neuroinflammation and facilitating neuroprotection, repair and remyelination",,,,,,,Yes,,,,
Sanofi,Partnering Brochure,Neuroscience,"Small Molecules, Biologics, Biomarkers, Targets

",Gene-based approaches to treating neurodegenerative diseases,"Sanofi is seeking proposals relating to the modulation of gene expressiongene replacement strategies and therapeutics targeting genetic CNS diseases (including Parkinson's Disease, Huntington's Disease, and Amyotrophic Lateral Sclerosis)","Debilitating neurodegenerative diseases of the central nervous system, including Multiple Sclerosis, Parkinsons's disease, Amyotrophic Lateral Sclerosis (ALS) and Huntington's Disease, represent significant unmet medical needs around the globe. We are committed to slowing or halting neurodegeneration, modulating neuroinflammation and facilitating neuroprotection, repair and remyelination",,,,,,,Yes,,,,
Sanofi,Partnering Brochure,Neuroscience,"Small Molecules, Biologics, Biomarkers, Targets

",Reducing accumulation and spread of neurodegeneration,Sanofi is interested in small molecules or biologics targeting alpha-synuclein or tau that reduce accumulation and spread of pathology,"Debilitating neurodegenerative diseases of the central nervous system, including Multiple Sclerosis, Parkinsons's disease, Amyotrophic Lateral Sclerosis (ALS) and Huntington's Disease, represent significant unmet medical needs around the globe. We are committed to slowing or halting neurodegeneration, modulating neuroinflammation and facilitating neuroprotection, repair and remyelination",,,,,,,Yes,,,,
Sanofi,https://www.sanofi.com/en/science-and-innovation/research-and-development,Neuroscience,"Small Molecules, Biologics, Biomarkers, Targets

",CNS inflammatory milieu,"Sanofii is interested in small molecules targeting CNS inflammatory milieu, including microglia and astrocytes","Debilitating neurodegenerative diseases of the central nervous system, including Multiple Sclerosis, Parkinsons's disease, Amyotrophic Lateral Sclerosis (ALS) and Huntington's Disease, represent significant unmet medical needs around the globe. We are committed to slowing or halting neurodegeneration, modulating neuroinflammation and facilitating neuroprotection, repair and remyelination",,,,,,,Yes,,,,
Sanofi,https://www.sanofi.com/en/science-and-innovation/research-and-development,Neuroscience,"Small Molecules, Biologics, Biomarkers, Targets

",Normalizing lysosomal or mitochondrial function,Sanofi is interested in therapeutics and novel targets to normalize lysosomal or mitochondrial function,"Debilitating neurodegenerative diseases of the central nervous system, including Multiple Sclerosis, Parkinsons's disease, Amyotrophic Lateral Sclerosis (ALS) and Huntington's Disease, represent significant unmet medical needs around the globe. We are committed to slowing or halting neurodegeneration, modulating neuroinflammation and facilitating neuroprotection, repair and remyelination",,,,,,,Yes,,,,
Sanofi,https://www.sanofi.com/en/science-and-innovation/research-and-development,Neuroscience,Biomarkers ,Identifying biomarker predictors in CNS diseases,"Sanofi is seeking proposals related to biomarkers predictive of disease progression, treatment response and patient stratification","Debilitating neurodegenerative diseases of the central nervous system, including Multiple Sclerosis, Parkinsons's disease, Amyotrophic Lateral Sclerosis (ALS) and Huntington's Disease, represent significant unmet medical needs around the globe. We are committed to slowing or halting neurodegeneration, modulating neuroinflammation and facilitating neuroprotection, repair and remyelination",,,,,,,Yes,,,,
Sanofi,https://www.sanofi.com/en/science-and-innovation/research-and-development,Neuroscience,Diagnostics,Identification of PET ligands (in CNS disesases),"Sanofi is seeking proposals related to PET ligands for misfolded proteins, neuroinflammation or therapeutic target engagement","Debilitating neurodegenerative diseases of the central nervous system, including Multiple Sclerosis, Parkinsons's disease, Amyotrophic Lateral Sclerosis (ALS) and Huntington's Disease, represent significant unmet medical needs around the globe. We are committed to slowing or halting neurodegeneration, modulating neuroinflammation and facilitating neuroprotection, repair and remyelination",,,,,,,Yes,,,,
Sanofi,https://www.sanofi.com/en/science-and-innovation/research-and-development,Neuroscience,Drug delivery mechanisms,Use of AAV capsids for neurotherapeutic delivery,"Sanofi is seeking proposals related to AAV capsids for intrathecal or systematic administration, widespread transduction or brain cell types","Debilitating neurodegenerative diseases of the central nervous system, including Multiple Sclerosis, Parkinsons's disease, Amyotrophic Lateral Sclerosis (ALS) and Huntington's Disease, represent significant unmet medical needs around the globe. We are committed to slowing or halting neurodegeneration, modulating neuroinflammation and facilitating neuroprotection, repair and remyelination",,,,,,,Yes,,,,
Sanofi,https://www.sanofi.com/en/science-and-innovation/research-and-development,Neuroscience,Drug delivery mechanisms,Methods for crossing the blood-brain barrier,Sanofi is interested in methods for enhancing the transit of therapeutics across the blood-brain barrier,"Debilitating neurodegenerative diseases of the central nervous system, including Multiple Sclerosis, Parkinsons's disease, Amyotrophic Lateral Sclerosis (ALS) and Huntington's Disease, represent significant unmet medical needs around the globe. We are committed to slowing or halting neurodegeneration, modulating neuroinflammation and facilitating neuroprotection, repair and remyelination",,,,,,,Yes,,,,
Sanofi,https://www.sanofi.com/en/science-and-innovation/research-and-development,Neuroscience,Diagnostics,Methods for assessing synaptic strength (and plastcity),"Sanofi is interested in methods for assessing synaptic plasticity, synaptic loss, neuroprotection or remyelination in vivo","Debilitating neurodegenerative diseases of the central nervous system, including Multiple Sclerosis, Parkinsons's disease, Amyotrophic Lateral Sclerosis (ALS) and Huntington's Disease, represent significant unmet medical needs around the globe. We are committed to slowing or halting neurodegeneration, modulating neuroinflammation and facilitating neuroprotection, repair and remyelination",,,,,,,Yes,,,,
AstraZeneca,https://www.astrazeneca.com/partnering/externally-sponsored-scientific-research.html,Neuroscience,Repurposing,New indications for Lanicemine,"AstraZeneca is seeking new indications other than Depressive Disorders for lanicemine, a N-methyl-D-aspartate (NMDA) receptor, low-trapping, open-channel blocker","We continue to push the boundaries in neuroscience. Our IMED Neuroscience team focuses on the discovery and development of new treatments for neurological and psychiatric disorders as well as chronic pain, across small molecules, biologics and new modalities such as PROTACs and ASOs.",,,,,,,Yes,,,,
AstraZeneca,https://www.astrazeneca.com/partnering/externally-sponsored-scientific-research.html,Neuroscience,Improving Drug Profiles,Safety and efficacy of naloxegol in OIC patients,"AstraZeneca is seeking proposals to improve understanding of safety, efficacy and mechanism of action of naloxegol (brand name Movantik) in opiod-induced constipation patients with chronic pain 
",,,,,,,,Yes,,,,
AstraZeneca,https://www.astrazeneca.com/partnering/externally-sponsored-scientific-research.html,Neuroscience,Improving Drug Profiles,Safety and efficacy of naloxegol in novel areas,"AstraZeneca is seeking proposals that assess safety and efficacy of naloxegol (brand name Movantik/Moventig) in novel areas relating to opiod-induced constipation, like acute pain and prophylaxis, as well as other gastrointestinal disorders
",,,,,,,,Yes,,,,
AstraZeneca,https://www.astrazeneca.com/partnering/externally-sponsored-scientific-research.html,Neuroscience,Mechanism of Action,Mechanism of action underlying naloxegol,AstraZeneca is seeking proposals that contribute to the understanding of mechanism of action underlying naloxegol (brand name Movantik/Moventig) ,,,,,,,,Yes,,,,
Eli Lilly ,https://www.lilly.com/partners/scientific-areas-of-interest,Neuroscience ,"Small molecules, biologics ",Novel disease modifying theraputics for neruodegenerative diseases ,"Eli Lilly is interested in novel theraputic approaches to treat neurodegenerative diseases, with an emphasis on Alzheimer's and Parkinson's disease. The ideal proposal will be a ""disease modifying theraputic"", meaning it targets the underlying mechanism of disease progression.",,,Therapeutics that only target disease symptoms and not underlying pathophysiology ,,,,,Yes,,,,"The discovery of new medicines is about being relentless. You will gain access to the Lilly development team with decades of experience exploring every avenue necessary. We never stop searching for novel medicines, new ways to address unmet medical needs, and  treatments that generate better outcomes. It's all done with a true sense of urgency, ensuring our medicines reach patients as soon as possible. "
Eli Lilly ,https://www.lilly.com/partners/scientific-areas-of-interest,Neuroscience ,"Small molecules, biologics ",Novel treatments for neurodegenerative disease associated symptoms ,"Eli Lilly is interested in novel treatments for common side effects of neurodegenerative diseases including: psychosis, cogntiive impairment, agitation, mood, and sleep. ",,,,,,,,Yes,,,,"The discovery of new medicines is about being relentless. You will gain access to the Lilly development team with decades of experience exploring every avenue necessary. We never stop searching for novel medicines, new ways to address unmet medical needs, and  treatments that generate better outcomes. It's all done with a true sense of urgency, ensuring our medicines reach patients as soon as possible. "
Eli Lilly ,https://www.lilly.com/partners/scientific-areas-of-interest,Neuroscience ,"Biomarkers, screening techniques ",Blood-based biomarkers for early detection of amyloid-positive dementia ,Eli Lilly is interested in blood-based biomarkers for the early detection and diagnosis of amyloid-positive dementia. ,,,,"The discovery of new medicines is about being relentless. You will gain access to Lilly development team with decades of experience dedicated to exploring every avenue necessary. We never stop searching for novel medicines, new ways to address unmet medical needs, and treatments that generate better outcomes. It's all done with a true sense of urgency, ensuring our medicines reach patients as soon as possible. ",,,,Yes,,,,
Eli Lilly ,https://www.lilly.com/partners/scientific-areas-of-interest,Neurosceince ,Screening techniques,Wearable technologies and associated software for Alzheimer's detection and disease monitoring ,Eli Lilly is interested in wearable devices and associated smart phone applications that can be used for the early detection of Alzheimer's and to monitor disease progresion in diagnosed patients. ,,,,"The discovery of new medicines is about being relentless. You will gain access to Lilly development team with decades of experience dedicated to exploring every avenue necessary. We never stop searching for novel medicines, new ways to address unmet medical needs, and treatments that generate better outcomes. It's all done with a true sense of urgency, ensuring our medicines reach patients as soon as possible. ",,,,Yes,,,,
Eli Lilly ,https://www.lilly.com/partners/scientific-areas-of-interest,Neuroscience ,"Small molecules, biologics",Novel approaches to treat chronic pain ,"Eli Lilly is interested in novel approaches for the treatment of the following types of chronic pain: neuropathic (somatosensory nervous system), inflammatory, and visceral (thorax, pelvis, abdomen). ",,,,"The discovery of new medicines is about being relentless. You will gain access to Lilly development team with decades of experience dedicated to exploring every avenue necessary. We never stop searching for novel medicines, new ways to address unmet medical needs, and treatments that generate better outcomes. It's all done with a true sense of urgency, ensuring our medicines reach patients as soon as possible. ",,,,Yes,,,,
Eli Lilly ,https://www.lilly.com/partners/scientific-areas-of-interest,Neuroscience ,"Small molecules, biologics",Novel approaches of migrane prevention,Eli Lilly is interested in novel migrane prevention therapies. ,,,,"The discovery of new medicines is about being relentless. You will gain access to Lilly development team with decades of experience dedicated to exploring every avenue necessary. We never stop searching for novel medicines, new ways to address unmet medical needs, and treatments that generate better outcomes. It's all done with a true sense of urgency, ensuring our medicines reach patients as soon as possible. ",,,,Yes,,,,
Boehringer Ingelheim,https://www.boehringer-ingelheim.com/sites/default/files/Partnering/CNS_Partnering-2019-01.pdf,Neuroscience ,"Biomarkers, small molecules, biologics ",Innovative drugs to modulate abarrent neural activity ,Boehringer Ingelheim is interested in novel drugs to modualte abarrent neural activity from maladaptive neurocircuits and neural networks. Proposals should include biomarkers to quantify therapeutic efficacy.   ,"The development of new treatment options for neuropsychiatric diseases is a key priority for Boehringer Ingelheim, evidenced by the innovative work in these areas of both our collaboration partners and our own highly-experienced research and development professionals. ",,"Proposed drugs whose efficacy cannot be quantified with biomarkers

Non drug-based treatments ",,,,,Yes,,,,
Boehringer Ingelheim,https://www.boehringer-ingelheim.com/sites/default/files/Partnering/CNS_Partnering-2019-01.pdf,Neuroscience ,Digital therapeutics and devices,Innovative non-drug approaches to modulate abarrent neural activity ,Boehringer Ingelheim is interested in novel non-drug approaches to modulate abarrent neural activity from maladpative neurocircuits and neural networks. Examples include digital theraputics that complement drug-based treatments.  ,"The development of new treatment options for neuropsychiatric diseases is a key priority for Boehringer Ingelheim, evidenced by the innovative work in these areas of both our collaboration partners and our own highly-experienced research and development professionals. ",,Drug-based treatments ,,,,,Yes,,,,
Boehringer Ingelheim,https://www.boehringer-ingelheim.com/sites/default/files/Partnering/CNS_Partnering-2019-01.pdf,Neuroscience ,"Small molecules, biologics ",Innovative treatments for Alzheimer's associated cogntive impariment ,Boehringer Ingelheim is interested in novel treatments for cognitive impairment symptoms of Alzheimer's disease. ,"The development of new treatment options for neuropsychiatric diseases is a key priority for Boehringer Ingelheim, evidenced by the innovative work in these areas of both our collaboration partners and our own highly-experienced research and development professionals. ",,Alzheimer's non-cognitive symptoms ,,,,,Yes,,,,
Boehringer Ingelheim,https://www.boehringer-ingelheim.com/sites/default/files/Partnering/CNS_Partnering-2019-01.pdf,Neuroscience ,"Small molecules, biologics ",Innovative treatments for non-cognitive symptoms of Alzheimer's ,Boehringer Ingelheim is interested in novel treatments for non-cognitive symptoms of Alzheimer's disease ,,,Alzheimer's cognitive symptoms ,,,,,Yes,,,,
Boehringer Ingelheim,https://www.boehringer-ingelheim.com/sites/default/files/Partnering/CNS_Partnering-2019-01.pdf,Neuroscience ,"Small molecules, biologics ",Innovative Schizophrenia treatments ,"Boehringer Ingelheim is intersted in novel Schizophrenia treatments, specifically in those that lead to a reduction in cogntive impairment and negative symptoms (lack of pleasure, speech impairment, flattening, withdrawl). ",,,,,,,,Yes,,,,
Boehringer Ingelheim,https://www.boehringer-ingelheim.com/sites/default/files/Partnering/CNS_Partnering-2019-01.pdf,Neuroscience ,"Small molecules, biologics ",Innovative therapeutics for treatment-resistant depression,Boehringer Ingelheim is interested in novel therapies for treatment-resistant depression. ,,,Therapies for depression that already responds to standard treatment ,,,,,Yes,,,,
Boehringer Ingelheim,https://www.boehringer-ingelheim.com/sites/default/files/Partnering/CNS_Partnering-2019-01.pdf,Neuroscience ,"Small molecules, biologics ",Innovative treatments for impulsivity disorders ,"Boehringer Ingelheim is intersted in novel treatments for impulsivity disorders including: substance use disorder, obsessive-compulsive disorder, borderline personality disorder. ",,,,,,,,Yes,,,,
Vertex,https://www.vrtx.com/we-are-vertex/collaborations-partnering#areas-of-interest,Neuroscience ,"Small molecules, biologics, gene therapies ",Novel approaches for the treatment of ALD ,Vertex is intersted in novel treatments for Adrenoleukodystrophy and associated myelin degredation. ,,,,,,,,Yes,,,,
Servier ,https://servier.com/en/areas-of-expertise/partnering/,Neuroscience ,"Small molecules, biologics",Development or lisencing of novel Alzheimer's therapeutics,Servier is intersted in treatments for Alzheimer's disease. Servier is intersted in both early stage and near market therapeutics. ,,,,,,,,Yes,,,,"The scope and complexity of science today require an open and cooperative network between all stakeholders in research. This is why we are always actively searching for research partnerships with academic organizations, as well as other pharmaceutical groups and biotechnology companies. Choosing a partnership with us means long-term investment through our foundation-based structure. It means choosing scientific and medical excellence with our top scientists and extensive clinical expert network. Each partnership is unique, and creates a personalized relationship. "
Servier ,https://servier.com/en/areas-of-expertise/partnering/,Neuroscience ,"Small moleculess, biologics ",Development or lisencing of novel Parkinson's therapeutics ,Servier is intersted in treatments for Parkinson's disease. Servier is intersted in both early stage and near market therapeutics.  ,,,,,,,,Yes,,,,"The scope and complexity of science today require an open and cooperative network between all stakeholders in research. This is why we are always actively searching for research partnerships with academic organizations, as well as other pharmaceutical groups and biotechnology companies. Choosing a partnership with us means long-term investment through our foundation-based structure. It means choosing scientific and medical excellence with our top scientists and extensive clinical expert network. Each partnership is unique, and creates a personalized relationship. "
Servier ,https://servier.com/en/areas-of-expertise/partnering/,Neuroscience ,Pathways,Research into protein misfolding in neuropsychiatric diseases ,Servier is interested in research into protein misfolding and how this pathphysiology imapcts neuroinflamation and neuroprotection in neuropsychiatric diseases.,,,,,,,,Yes,,,,"The scope and complexity of science today require an open and cooperative network between all stakeholders in research. This is why we are always actively searching for research partnerships with academic organizations, as well as other pharmaceutical groups and biotechnology companies. Choosing a partnership with us means long-term investment through our foundation-based structure. It means choosing scientific and medical excellence with our top scientists and extensive clinical expert network. Each partnership is unique, and creates a personalized relationship. "
Servier ,https://servier.com/en/areas-of-expertise/partnering/,Neuroscience ,"Small moleculess, biologics ",Research supporting the preclinical development of Parkinson's theraputics ,Servier is intersted in research supporting the pre-clinical development of Parkinson's therapeutics in its pipeline.,,Novel Parkinson's therepeutics ,,,,,,Yes,,,,"The scope and complexity of science today require an open and cooperative network between all stakeholders in research. This is why we are always actively searching for research partnerships with academic organizations, as well as other pharmaceutical groups and biotechnology companies. Choosing a partnership with us means long-term investment through our foundation-based structure. It means choosing scientific and medical excellence with our top scientists and extensive clinical expert network. Each partnership is unique, and creates a personalized relationship. "
Servier ,https://servier.com/en/areas-of-expertise/partnering/,Neuroscience ,Small molecules,Research supporting the preclinical development of  Autism Spectrum Disorders therapeutics ,Servier is intersted in research supporting the pre-clinical development of Autism Spectrum Disorders therapeutics in its pipeline. ,,Novel therapeutics not already in Servier's pipeline ,,,,,,Yes,,,,"The scope and complexity of science today require an open and cooperative network between all stakeholders in research. This is why we are always actively searching for research partnerships with academic organizations, as well as other pharmaceutical groups and biotechnology companies. Choosing a partnership with us means long-term investment through our foundation-based structure. It means choosing scientific and medical excellence with our top scientists and extensive clinical expert network. Each partnership is unique, and creates a personalized relationship. "
Servier ,https://servier.com/en/areas-of-expertise/partnering/,Neuroscience ,"Small molecules, biologics ",Research supporting the preclinical development of therapeutics for acute stroke and post stroke recovery ,Servier is intersted in research supporting the pre-clinical development of therapeutics for acute stroke and post stroke recovery in its pipeline.  ,,Novel therapeutics not already in Servier's pipeline ,,,,,,Yes,,,,"The scope and complexity of science today require an open and cooperative network between all stakeholders in research. This is why we are always actively searching for research partnerships with academic organizations, as well as other pharmaceutical groups and biotechnology companies. Choosing a partnership with us means long-term investment through our foundation-based structure. It means choosing scientific and medical excellence with our top scientists and extensive clinical expert network. Each partnership is unique, and creates a personalized relationship. "
Servier ,https://servier.com/en/areas-of-expertise/partnering/,Neuroscience ,"Small molecules, biologics ",Research supporting the preclinical development of thereapeutics for Multiple Sclerosis,Servier is intersted in research supporting the pre-clinical development of MS thereapeutics in its pipeline. ,,Novel therapeutics not already in Servier's pipeline ,,,,,,Yes,,,,"The scope and complexity of science today require an open and cooperative network between all stakeholders in research. This is why we are always actively searching for research partnerships with academic organizations, as well as other pharmaceutical groups and biotechnology companies. Choosing a partnership with us means long-term investment through our foundation-based structure. It means choosing scientific and medical excellence with our top scientists and extensive clinical expert network. Each partnership is unique, and creates a personalized relationship. "
Servier ,https://servier.com/en/areas-of-expertise/partnering/,Neuroscience ,"Small molecules, biologics ",Development or lisencing of novel ALS therapeutics ,Servier is intersted in treatments for ALS.Servier is intersted in both early stage and near market therapeutics.  ,,,,,,,,Yes,,,,"The scope and complexity of science today require an open and cooperative network between all stakeholders in research. This is why we are always actively searching for research partnerships with academic organizations, as well as other pharmaceutical groups and biotechnology companies. Choosing a partnership with us means long-term investment through our foundation-based structure. It means choosing scientific and medical excellence with our top scientists and extensive clinical expert network. Each partnership is unique, and creates a personalized relationship. "
Servier ,https://servier.com/en/areas-of-expertise/partnering/,Neuroscience ,"Small molecules, biologics ",Development or lisencing of novel Huntington's therapeutics ,Servier is intersted in treatments for Huntigton's disease. Servier is intersted in both early stage and near market therapeutics. ,,,,,,,,Yes,,,,"The scope and complexity of science today require an open and cooperative network between all stakeholders in research. This is why we are always actively searching for research partnerships with academic organizations, as well as other pharmaceutical groups and biotechnology companies. Choosing a partnership with us means long-term investment through our foundation-based structure. It means choosing scientific and medical excellence with our top scientists and extensive clinical expert network. Each partnership is unique, and creates a personalized relationship. "
Servier ,https://servier.com/en/areas-of-expertise/partnering/,Neuroscience ,"Small molecules, biologics ",Development or lisencing of novel traumatic brain injury therapeutics ,Servier is interested in treatments for traumatic brain injury. Servier is intersted in both early stage and near market therapeutics. ,,,,,,,,Yes,,,,"The scope and complexity of science today require an open and cooperative network between all stakeholders in research. This is why we are always actively searching for research partnerships with academic organizations, as well as other pharmaceutical groups and biotechnology companies. Choosing a partnership with us means long-term investment through our foundation-based structure. It means choosing scientific and medical excellence with our top scientists and extensive clinical expert network. Each partnership is unique, and creates a personalized relationship. "
Servier ,https://servier.com/en/areas-of-expertise/partnering/,Neuroscience ,"Small molecules, biologics ",Development or lisencing of novel Rett Syndrome therapeutics,Servier is interested in treatments for Rett Syndrome. Servier is intersted in both early stage and near market therapeutics. ,,,,,,,,Yes,,,,"The scope and complexity of science today require an open and cooperative network between all stakeholders in research. This is why we are always actively searching for research partnerships with academic organizations, as well as other pharmaceutical groups and biotechnology companies. Choosing a partnership with us means long-term investment through our foundation-based structure. It means choosing scientific and medical excellence with our top scientists and extensive clinical expert network. Each partnership is unique, and creates a personalized relationship. "
Servier ,https://servier.com/en/areas-of-expertise/partnering/,Neuroscience ,"Small molecules, biologics ",Development or lisencing of novel Fragile X syndrome therapeutics ,Servier is interested in treatments for Fragile X syndrome. Servier is intersted in both early stage and near market therapeutics. ,,,,,,,,Yes,,,,"The scope and complexity of science today require an open and cooperative network between all stakeholders in research. This is why we are always actively searching for research partnerships with academic organizations, as well as other pharmaceutical groups and biotechnology companies. Choosing a partnership with us means long-term investment through our foundation-based structure. It means choosing scientific and medical excellence with our top scientists and extensive clinical expert network. Each partnership is unique, and creates a personalized relationship. "
