Company Name,Category,Source,Headquarters,No of Employees,Annual Revenue (US$ m),Email,URL,Phone Number,Fax,Address,City,State,Country
Accelerate Dinostics,Health,GlobalData,United States of America,239,$6,contact@axdx.com,acceleratediagnostics.com,1 520 3653100,1 520 2696580,"Suite 470, 4th Floor , 3950 South Country Club Road",Tuscon,Arizona,United States of America
Accelerated Biosciences Corp.,Health,JPM,,,,,,,,,,,
Acceleron Pharma,Health,GlobalData,United States of America,173,$14,info@acceleronpharma.com,www.acceleronpharma.com,1 617 6499200,1 617 6499988,128 Sidney Street,Cambridge,Massachusetts,United States of America
Accolade Pharma,Health,JPM,,,,,,,,,,,
Accuray,Health,GlobalData,United States of America,998,$405,,www.accuray.com,1 888 522 3740,1 408 7164601,1310 Chesapeake Ter,Sunnyvale,California,United States of America
Accuronix Therapeutics,Health,JPM,,,,,,,,,,,
ACEA Biosciences,Health,JPM,,,,,,,,,,,
AcelRx Pharmaceuticals,Health,GlobalData,United States of America,57,$2,info@acelrx.com,www.acelrx.com,1 650 2163500,,351 Galveston Drive,Redwood City,California,United States of America
Acer Therapeutics,Health,GlobalData,United States of America,23,,,www.acertx.com,,,"Suite 351, One Gateway Center",Newton,Massachusetts,United States of America
Achaogen,Health,GlobalData,United States of America,42,$9,info@achaogen.com,www.achaogen.com,1 650 8003636,,"Suite 300, 1 Tower Place",South San Francisco,California,United States of America
Achelios Therapeutics,Health,JPM,,,,,,,,,,,
Achillion Pharmaceuticals,Health,GlobalData,United States of America,56,,,www.achillion.com,1 203 6247000,1 203 6247003,300 George St,New Haven,Connecticut,United States of America
Aciont ,Health,JPM,,,,,,,,,,,
Aclaris Therapeutics,Health,GlobalData,United States of America,169,$10,,www.aclaristx.com,1 484 3247933,1 302 6555049,"Suite 200, 640 Lee Road",Wayne,Pennsylvania,United States of America
Acorda Therapeutics,Health,GlobalData,United States of America,474,$471,info@acorda.com,www.acorda.com,1 914 3474300,1 914 3474560,420 Saw Mill River Raod,Ardsley,New York,United States of America
Actinium Pharmaceuticals,Health,GlobalData,United States of America,30,,,www.actiniumpharma.com,1 646 6773870,,"7th Floor, 275 Madison Avenue",New York,New York,United States of America
Actinogen Medical,Health,JPM,,,,,,,,,,,
Adagene ,Health,JPM,,,,,,,,,,,
Adamas Pharmaceuticals,Health,GlobalData,United States of America,159,$34,info@adamaspharma.com,adamaspharma.com,1 510 4503554,1 510 4280519,1900 Powell St Ste 750,EMERYVILLE,California,United States of America
Adamis Pharmaceuticals,Health,GlobalData,United States of America,152,$15,,www.adamispharmaceuticals.com,1 858 9972400,,"Suite 300, 11682 El Camino Real",San Diego,California,United States of America
Adaptimmune Therapeutics,Health,GlobalData,United Kingdom,430,$60,,,44 1235 430000,44 1235 430001,"91, Park Drive",Abingdon,Oxfordshire,United Kingdom
Addgene,Health,GlobalData,,,,,,,,,,,
ADial Pharmaceuticals ,Health,JPM,,,,,,,,,,,
Adjay Holdings,Health,JPM,,,,,,,,,,,
Adocia,Health,GlobalData,France,132,$56,,www.adocia.com,33 4 72610610,33 4 72363967,115 Avenue Lacassagne,Lyon,Auvergne,France
Aduro BioTech,Health,GlobalData,United States of America,152,$15,,www.aduro.com,1 510 8484400,1 302 6555049,740 Heinz Ave,BERKELEY,California,United States of America
Aduro Biotech,Health,JPM,,,,,,,,,,,
Advanz Pharmaceutical,Health,GlobalData,Canada,435,$537,info@concordiarx.com,www.advanzpharma.com,1 905 8425150,1 905 8425154,"Suite 302, 277 Lakeshore Road East",Oakville,Ontario,Canada
Advaxis,Health,GlobalData,United States of America,58,$6,ir@advaxis.com,www.advaxis.com,1 732 5451590,1 302 6745266,305 College Road East,Princeton,New Jersey,United States of America
Adverum Biotechnologies,Health,GlobalData,United States of America,78,$2,,www.adverum.com,1 650 6569323,1 650 3298151,"Suite A, 1035 O’Brien Drive",Menlo Park,California,United States of America
Adynxx ,Health,JPM,,,,,,,,,,,
Aeglea BioTherapeutics,Health,GlobalData,United States of America,61,$4,info@aegleabio.com,aegleabio.com,1 512 9422935,1 512 8725121,"Suite 250, 901 S. MoPac Expressway",Austin,Texas,United States of America
AELLS ,Health,JPM,,,,,,,,,,,
Aequor ,Health,JPM,,,,,,,,,,,
Aerie Pharmaceuticals,Health,GlobalData,United States of America,353,$24,info@aeriepharma.com,www.aeriepharma.com,1 949 5268700,,"Suite 1500 , 2030 Main Street",Irvine,California,United States of America
Aeterna Zentaris,Health,JPM,,,,,,,,,,,
Aevi Genomic Medicine,Health,GlobalData,United States of America,17,,,www.aevigenomics.com,1 610 2544201,,"Suite 715, 435 Devon Park Drive",Wayne,Pennsylvania,United States of America
Affigen,Health,JPM,,,,,,,,,,,
Affimed,Health,GlobalData,Germany,110,$28,info@affimed.com,www.affimed.com,49 6221 674360,49 6221 6743649,Im Neuenheimer Feld 582,Heidelberg,Baden-Wurttemberg,Germany
Affymax,Health,GlobalData,United States of America,4,$1,,www.affymax.com,1 650 8128700,1 302 6555049,630 5th Ave Ste 2260,New York,New York,United States of America
Afimmune,Health,JPM,,,,,,,,,,,
Agenovir Corporation,Health,JPM,,,,,,,,,,,
Agile Sciences,Health,JPM,,,,,,,,,,,
Agios Pharmaceuticals ,Health,JPM,,,,,,,,,,,
Ahi Intecc,Health,GlobalData,Japan,"6,998",$452,,www.asahi-intecc.com,81 52 7681211,81 52 7681221,1703 Wakita-cho,Nagoya-Shi,Aichi,Japan
AIBIOS Co. ,Health,JPM,,,,,,,,,,,
Aier Eye Hospital Group,Health,GlobalData,China,"16,430","$1,211",aierio@aierchina.com,www.aierchina.com,86 731 85174163,86 731 85179288,"Section 198 , New Century Mansion, zhonglu Road",CHANGSHA,Hunan,China
Aileron Therapeutics,Health,GlobalData,United States of America,23,,info@aileronrx.com,www.aileronrx.com,1 617 9950900,1 617 9952410,281 Albany Street,Cambridge,Massachusetts,United States of America
Aimmune Therapeutics,Health,GlobalData,United States of America,228,,info@aimmune.com,www.aimmune.com,1 650 6145220,1 650 6160075,"Suite 200, 8000 Marina Boulevard",Brisbane,California,United States of America
Air Products and Chemicals,Health,GlobalData,United States of America,"16,000","$8,930",info@airproducts.com,www.airproducts.com,1 610 4814911,1 610 4815900,7201 Hamilton Boulevard,Allentown,Pennsylvania,United States of America
Airway Therapeutics ,Health,JPM,,,,,,,,,,,
Aju Pharm Co.,Health,JPM,,,,,,,,,,,
Akari Therapeutics,Health,GlobalData,United States of America,13,,,www.akaritx.com,1 646 3500702,1 646 8439352,24 W 40th St Fl 8,New York,New York,United States of America
Akcea Therapeutics,Health,GlobalData,United States of America,248,$65,info@akceatx.com,www.akceatx.com,1 617 2070202,,55 Cambridge Parkway,CAMBRIDGE,Massachusetts,United States of America
Akebia Therapeutics,Health,GlobalData,United States of America,325,$208,info@akebia.com,akebia.com,1 617 8712098,1 617 8712099,"Suite 1100, 245 First Street",Cambridge,Massachusetts,United States of America
Akorn,Health,GlobalData,United States of America,"2,191",$694,,www.akorn.com,1 800 9325676,1 800 9433694,"Suite 300, 1925 West Field Court",Lake Forest,Illinois,United States of America
Akrimax Pharmaceuticals,Health,JPM,,,,,,,,,,,
Akzo Nobel,Health,GlobalData,Netherlands,"34,400","$10,923",,www.akzonobel.com,31 20 5027555,31 20 5027666,"P.O. Box 75730, Christian Neefestraat 2",Amsterdam,Noord-Holland,Netherlands
Albemarle,Health,GlobalData,United States of America,"5,900","$3,375",,www.albemarle.com,1 980 2995700,1 980 2995512,"Suite 700, 4350 Congress Street",Charlotte,North Carolina,United States of America
Albireo Pharma,Health,GlobalData,United States of America,39,$13,,www.albireopharma.com,1 857 4154774,1 302 6365454,"10 Post Office Square, Suite 502 South",BOSTON,Massachusetts,United States of America
Albumedix,Health,JPM,,,,,,,,,,,
Alder Biopharmaceuticals,Health,GlobalData,United States of America,202,,info@alderbio.com,www.alderbio.com,1 425 2052900,1 425 2052901,11804 North Creek Parkway South,Bothell,Washington,United States of America
Aldeyra Therapeutics,Health,GlobalData,United States of America,19,,,www.aldeyra.com,1 781 7614904,,"Suite 320, 131 Hartwell Avenue",Lexington,Massachusetts,United States of America
Alector,Health,GlobalData,United States of America,91,$28,info@alector.com,alector.com,1 415 2315660,1 302 6555049,"Suite 300, 151 Oyster Point Blvd",South San Francisco,California,United States of America
Alembic Pharmaceuticals,Health,GlobalData,India,"9,526",$459,infoal@alembic.co.in,www.alembic-india.com,91 265 2282550,91 265 2281508,Alembic Road,Vadodara,Gujarat,India
Alexza Pharmaceuticals ,Health,JPM,,,,,,,,,,,
Alfre Holdings,Health,GlobalData,Japan,"11,901","$23,480",,www.alfresa.com,81 3 52195100,81 3 52195103,1-1-3 Otemachi,Chiyoda-ku,Tokyo,Japan
ALFRESA PHARMA CORP,Health,JPM,,,,,,,,,,,
Algomedix ,Health,JPM,,,,,,,,,,,
Alimera Sciences,Health,GlobalData,United States of America,124,$47,,www.alimerasciences.com,1 678 9905740,1 678 9905744,"Suite 290, 6120 Windward Pkwy",Alpharetta,Georgia,United States of America
ALK-ello,Health,GlobalData,Denmark,"2,379",$462,,www.alk.net,45 45 747576,45 45 748690,Boege Alle 6-8,Horsholm,,Denmark
Alkermes,Health,GlobalData,Ireland,"2,300","$1,094",,www.alkermes.com,353 1 7728000,,"Connaught House, 1 Burlington Road",Dublin,Leinster,Ireland
Allakos,Health,GlobalData,United States of America,64,,info@allakos.com,www.allakos.com,1 650 5975002,,"Suite 201, 975 Island Drive",Redwood,California,United States of America
Allena Pharmaceuticals,Health,GlobalData,United States of America,49,,info@allenapharma.com,www.allenapharma.com,1 617 4674577,1 617 9161871,"Suite 202, One Newton Executive Park",Newton,Massachusetts,United States of America
Allergy Therapeutics,Health,GlobalData,United Kingdom,499,$91,,www.allergytherapeutics.com,44 1903 844700,44 1903 844726,Dominion Way,Worthing,West Sussex,United Kingdom
Allogene Therapeutics,Health,GlobalData,United States of America,151,,info@allogene.com,www.allogene.com,1 650 4572700,1 302 6365454,210 E Grand Ave,South San Francisco,California,United States of America
AlloMek Therapeutics,Health,JPM,,,,,,,,,,,
Almirall ,Health,JPM,,,,,,,,,,,
Alpine Immune Sciences,Health,GlobalData,United States of America,48,$1,,www.alpineimmunesciences.com,1 206 7884545,,"Suite 230, 201 Elliott Ave West",Seattle,Washington,United States of America
Altimmune,Health,GlobalData,United States of America,27,$10,,www.altimmune.com,1 240 6541450,,"Suite 201S, 910 Clopper Road",Gaithersburg,Maryland,United States of America
Altis Biosystems,Health,JPM,,,,,,,,,,,
Altum Pharmaceuticals ,Health,JPM,,,,,,,,,,,
ALVOGEN,Health,JPM,,,,,,,,,,,
AM Pharmaceuticals,Health,GlobalData,United States of America,467,$474,contactus@amagpharma.com,www.amagpharma.com,1 617 4983300,1 617 6491632,1100 Winter Street,Waltham,Massachusetts,United States of America
AM-Pharma BV,Health,JPM,,,,,,,,,,,
Amarin,Health,GlobalData,Ireland,530,$229,,www.amarincorp.com,353 1 6699020,,"2 Pembroke House, Upper Pembroke Street 28-32",Dublin,Leinster,Ireland
AmbioPharm ,Health,JPM,,,,,,,,,,,
American Gene Technologies International,Health,JPM,,,,,,,,,,,
Amgen,Health,GlobalData,,,,,,,,,,,
Amicus Therapeutics,Health,GlobalData,United States of America,508,$91,info@amicusrx.com,www.amicusrx.com,1 609 6622000,1 609 6622001,1 Cedarbrook Dr,Cranbury,New Jersey,United States of America
Amneal Pharmaceuticals,Health,GlobalData,United States of America,"6,000","$1,663",,www.amneal.com,1 908 9473120,1 908 9473146,"3rd Floor, 400 Crossing Boulevard",Bridgewater,New Jersey,United States of America
Amorepacific,Health,GlobalData,South Korea,"5,811","$4,801",,us.amorepacific.com,82 2 7095114,82 2 7096339,"100, Cheonggyecheon-ro, Jung-gu",Seoul City,,South Korea
Amoy Dinostics,Health,GlobalData,China,541,$66,,www.amoydiagnostics.com,86 592 6806835,86 592 6806839,", 39 Dingshan Road",XIAMEN,Fujian,China
Amphastar Pharmaceuticals,Health,GlobalData,United States of America,"2,078",$295,,www.amphastar.com,1 800 4234136,,11570 6th Street,Rancho Cucamonga,California,United States of America
AmpliPhi BioSciences Corporation,Health,JPM,,,,,,,,,,,
Amryt Pharma,Health,GlobalData,United Kingdom,41,$17,,www.amrytpharma.com,44 20 3178,,"Dept 920A, 196 High Road, Wood Green",London,Greater London,United Kingdom
Amygdala Neurosciences ,Health,JPM,,,,,,,,,,,
Amyris,Health,GlobalData,United States of America,414,$80,info@amyris.com,www.amyris.com,1 510 4500761,1 510 2252645,"Suite 100, 5885 Hollis Street",Emeryville,California,United States of America
Anaeropharma Science ,Health,JPM,,,,,,,,,,,
AnaptysBio,Health,GlobalData,United States of America,78,$5,info@anaptysbio.com,www.anaptysbio.com,1 858 3626295,1 858 3626296,10421 Pacific Center Ct Ste 200,San Diego,California,United States of America
Anavex Life Sciences,Health,GlobalData,United States of America,13,,info@anavex.com,www.anavex.com,1 800 6893939,,"7th Floor, 51 West 52nd Street",New York,New York,United States of America
Andon Health,Health,GlobalData,China,"1,879",$88,,www.jiuan.com,86 22 27371310,86 22 27463749,"Tianjin Ya'an Road, Jinping Road",Tianjin City,Tianjin,China
Angelini ACRAF ,Health,JPM,,,,,,,,,,,
AnGes,Health,GlobalData,Japan,48,$6,,www.anges.co.jp,81 3 57302641,,"1F, Saito Bio-Incubator, 7-7-15, Saito-asagi",Ibaraki,Osaka,Japan
AngioDynamics,Health,GlobalData,United States of America,"1,145",$344,info@angiodynamics.com,www.angiodynamics.com,1 518 7981215,1 518 7951401,14 Plaza Drive,Latham,New York,United States of America
Anhui Anke Biotechnology,Health,GlobalData,China,"1,993",$221,info@ankebio.com,www.ankebio.com,86 551 65319890,86 551 65319895,"Ankebio Building, 669 Changjiang Road",Hefei,Anhui,China
ANI Pharmaceuticals,Health,GlobalData,United States of America,299,$202,customerservice@anipharmaceuticals.com,www.anipharmaceuticals.com,1 218 6343500,1 218 6343540,210 Main Street West,Baudette,Minnesota,United States of America
Anika Therapeutics,Health,GlobalData,United States of America,133,$106,,www.anikatherapeutics.com,1 781 4579000,1 781 3059720,32 Wiggins Avenue,Bedford,Massachusetts,United States of America
Antares Pharma,Health,GlobalData,United States of America,165,$64,,www.antarespharma.com,1 609 3593020,1 302 6555049,"Suite 300, 100 Princeton South",Ewing,New Jersey,United States of America
Anthera Pharmaceuticals,Health,GlobalData,United States of America,21,,,www.anthera.com,1 510 8565600,1 510 8565597,"Suite B, 25801 Industrial Blvd.",Hayward,California,United States of America
Apellis Pharmaceuticals,Health,GlobalData,United States of America,87,,info@apellis.com,apellis.com,1 502 2414114,1 302 6555049,"Suite A, 6400 Westwind Way",Crestwood,Kentucky,United States of America
Apeloa,Health,GlobalData,China,"5,761",$964,,www.apeloa.com,86 579 86557527,86 579 6557819,"No.333, Jiangnan Road",Jinhua,Zhejiang,China
Apexian Pharmaceuticals,Health,JPM,,,,,,,,,,,
Apollo Endosurgery,Health,GlobalData,United States of America,215,$61,,apolloendo.com,1 512 2795100,1 302 6745266,"Suite 300, Building 1",Austin,Texas,United States of America
Aposense,Health,JPM,,,,,,,,,,,
Apothecaries,Health,JPM,,,,,,,,,,,
Appili Therapeutics,Health,JPM,,,,,,,,,,,
Applied Genetic Technologies,Health,GlobalData,United States of America,78,$24,,www.agtc.com,1 386 4622204,,"Suite 10, 14193 NW 119th Terrace",Alachua,Florida,United States of America
Applied Therapeutics,Health,GlobalData,United States of America,9,,info@appliedtherapeutics.com,www.appliedtherapeutics.com,1 212 2209319,1 302 6365454,"Floor 19, 340 Madison Avenue",New York City,New York,United States of America
AptamiR Therapeutics ,Health,JPM,,,,,,,,,,,
Aptevo Therapeutics,Health,GlobalData,United States of America,118,$23,info@apvo.com,www.aptevotherapeutics.com,1 206 8380500,1 206 8380503,"Suite 1050, 2401, 4th Avenue",Seattle,Washington,United States of America
Aptinyx,Health,GlobalData,United States of America,63,$7,corporate@aptinyx.com,www.aptinyx.com,1 847 8710377,,"Suite 600, 909 Davis Street",Evanston,Illinois,United States of America
Aptose Biosciences,Health,GlobalData,Canada,22,,,aptose.com,1 647 4799828,1 416 7982200,"Suite 1105, 251 Consumers Road",MISSISSAUGA,Ontario,Canada
Aquestive Therapeutics,Health,GlobalData,United States of America,277,$67,,aquestive.com,1 908 9411900,1 302 6365454,30 Technology Drive,Warren,New Jersey,United States of America
Aquinnah Pharmaceuticals,Health,JPM,,,,,,,,,,,
Aquinox Pharmaceuticals,Health,GlobalData,Canada,8,$25,info@aqxpharma.com,www.aqxpharma.com,1 604 6299223,1 778 3314486,"Suite 450, 887 Great Northern Way",Vancouver,British Columbia,Canada
Aradigm,Health,GlobalData,United States of America,23,$14,,www.aradigm.com,1 510 2659000,1 510 2658878,3929 Point Eden Way,Hayward,California,United States of America
Aralez Pharmaceuticals,Health,JPM,,,,,,,,,,,
Arbutus Biopharma,Health,GlobalData,Canada,80,$6,,www.arbutusbio.com,1 604 4193200,,100-8900 Glenlyon Parkway,Burnaby,British Columbia,Canada
Arcturus Therapeutics,Health,GlobalData,United States of America,72,$16,info@arcturusrx.com,www.alcobra-pharma.com,1 858 9002660,972 7 22204664,"Suite 200, 10628 Science Center Drive",San Diego,California,United States of America
Arcus Biosciences,Health,GlobalData,United States of America,108,$8,webmaster@arcusbio.com,www.arcusbio.com,1 650 4899000,1 302 7301370,3928 Point Eden Way,Hayward,California,United States of America
Ardelyx,Health,GlobalData,United States of America,86,$3,info@ardelyx.com,www.ardelyx.com,1 510 7451700,,"Suite 200
 
 , 34175 Ardenwood Boulevard",Fremont,California,United States of America
Arena Pharmaceuticals,Health,GlobalData,United States of America,194,$18,IR@arenapharm.com,www.arenapharm.com,1 858 4537200,1 858 4537210,6154 Nancy Ridge Drive,San Diego,California,United States of America
Argenx,Health,GlobalData,Netherlands,73,$25,,www.argen-x.com,31 76 3030488,,Willemstraat 5,Breda,Noord-Brabant,Netherlands
Aridis Pharmaceuticals,Health,GlobalData,United States of America,23,$3,info@aridispharma.com,aridispharma.com,1 408 3851742,1 408 9603822,5941 Optical Ct,San Jose,California,United States of America
Arkema,Health,GlobalData,France,"20,010","$10,404",,www.arkema.com,33 149 008080,,420 rue d'Estienne d'Orves,Paris,Ile-de-France,France
ARMO Biosciences,Health,GlobalData,United States of America,31,,contact@armobio.com,www.armobio.com,1 650 7795075,1 302 5313150,575 Chesapeake Drive,Redwood City,California,United States of America
Arnis,Health,GlobalData,United States of America,15,$4,info@arsanis.com,www.arsanis.com,1 781 8195704,,"Suite 230, 890 Winter Street",Waltham,Massachusetts,United States of America
ArQule,Health,GlobalData,United States of America,36,$26,,www.arqule.com,1 781 9940300,1 781 3766019,One Wall Street,Burlington,Massachusetts,United States of America
Array BioPharma,Health,GlobalData,United States of America,298,$174,info@arraybiopharma.com,www.arraybiopharma.com,1 303 3816600,1 302 6365454,3200 Walnut St,Boulder,Colorado,United States of America
Arrien Pharmaceuticals,Health,JPM,,,,,,,,,,,
Arrowhead Pharmaceuticals,Health,GlobalData,United States of America,116,$16,info@arrowheadpharma.com,www.arrowheadpharma.com,1 626 3043400,1 626 3043401,"Suite 1050, 225 South Lake Avenue",Pasadena,California,United States of America
Artery Therapeutics ,Health,JPM,,,,,,,,,,,
ArunA Biomedical ,Health,JPM,,,,,,,,,,,
Arven Ilac San ve Tic A.S.,Health,JPM,,,,,,,,,,,
Arvinas,Health,GlobalData,United States of America,83,$14,info@arvinas.com,arvinas.com,1 203 5351456,1 302 6365454,5 Science Park,New Haven,Connecticut,United States of America
Arzeda,Health,JPM,,,,,,,,,,,
Asahi Kasei Pharma Corporation,Health,JPM,,,,,,,,,,,
Ascendis Pharma,Health,GlobalData,Denmark,137,$12,info@ascendispharma.com,www.ascendispharma.com,45 70 222244,,Tuborg Boulevard 5,Hellerup,,Denmark
Asclepiumm Taiwan,Health,JPM,,,,,,,,,,,
Ascletis Pharma,Health,GlobalData,China,,$25,,www.ascletis.com,,,"Floor 18, Bldg No. 4, Gemini International No. 1785, Jianghan Road",Hangzhou,Zhejiang,China
Asieris Pharmaceuticals,Health,JPM,,,,,,,,,,,
ASIT Biotech,Health,GlobalData,Belgium,20,,,asitbiotech.com,32 2 2640390,32 2 2640399,Avenue Ariane 5,Brussels,,Belgium
ASKA Pharmaceutical,Health,GlobalData,Japan,856,$442,,www.aska-pharma.co.jp,81 3 54848366,81 3 54848302,2-5-1 Shibaura,Tokyo City,Tokyo,Japan
Aslan Pharmaceuticals,Health,GlobalData,United Kingdom,,,contact@aslanpharma.com,www.aslanpharma.com,,,190 Elgin Avenue,George Town,Cayman Islands,United Kingdom
Aspect Biosystems ,Health,JPM,,,,,,,,,,,
Aspiera Medical ,Health,JPM,,,,,,,,,,,
Assembly Biosciences,Health,GlobalData,United States of America,95,$15,info@assemblybio.com,www.assemblybio.com,1 212 5842276,,"Suite 310, 11711 North Meridian Street",Carmel,Indiana,United States of America
Astellas Pharma ,Health,JPM,,,,,,,,,,,
Asterias Biotherapeutics,Health,GlobalData,United States of America,31,$4,,www.asteriasbiotherapeutics.com,1 510 4563805,1 800 9894671,6300 Dumbarton Circle,Fremont,California,United States of America
ASTP-Proton,Health,GlobalData,,,,,,,,,,,
AstraZeneca ,Health,GlobalData,,,,,,,,,,,
Astrocyte Pharmaceuticals,Health,JPM,,,,,,,,,,,
Asymchem Loratories,Health,GlobalData,China,"3,291",$277,,www.asymchem.com.cn,86 22 66252889,86 22 66252777,"No 6, Dongting 3rd Street, Tianjin Economic Technological Development Zone",Tianjin City,Tianjin,China
Atara Biotherapeutics,Health,GlobalData,United States of America,311,,office@atarabio.com,www.atarabio.com,1 650 2788930,1 302 5313150,"Suite 900, 611 Gateway Boulevard",South San Francisco,California,United States of America
Atelix ,Health,JPM,,,,,,,,,,,
athenahealth,Health,GlobalData,United States of America,"5,156","$1,220",,www.athenahealth.com,1 617 4021000,1 617 4021099,311 Arsenal Street,Watertown,Massachusetts,United States of America
Athenex,Health,GlobalData,United States of America,575,$89,info@athenex.com,www.athenex.com,1 716 8988625,1 716 8006816,"Suite 600, 1001 Main Street",Buffalo,New York,United States of America
Athersys,Health,GlobalData,United States of America,75,$24,info@athersys.com,www.athersys.com,1 216 4319900,1 216 3619495,3201 Carnegie Avenue,Cleveland,Ohio,United States of America
Atreca ,Health,JPM,,,,,,,,,,,
AtriCure,Health,GlobalData,United States of America,620,$202,,www.atricure.com,1 513 7554100,1 513 7554567,7555 Innovation Way,MASON,Ohio,United States of America
Attenua ,Health,JPM,,,,,,,,,,,
aTyr Pharma,Health,GlobalData,United States of America,42,,,www.atyrpharma.com,1 858 7318389,1 858 7318394,"Suite 250, 3545 John Hopkins Court",San Diego,California,United States of America
Audentes Therapeutics,Health,GlobalData,United States of America,207,,info@audentestx.com,www.audentestx.com,1 415 8181001,,"17th Floor, 600 California Street",San Francisco,California,United States of America
AurimMed Pharma ,Health,JPM,,,,,,,,,,,
Aurin Biotech ,Health,JPM,,,,,,,,,,,
Aurinia Pharmaceuticals,Health,GlobalData,Canada,39,$0,,www.auriniapharma.com,1 250 7442487,1 250 7442498,1203-4464 Markham Street,Victoria,British Columbia,Canada
Auris Medical ,Health,JPM,,,,,,,,,,,
Autolus Therapeutics,Health,GlobalData,United Kingdom,166,$1,contact@autolus.com,www.autolus.com,44 20 38296230,,"Forest House, 58 Wood Lane",London,Greater London,United Kingdom
Avadel Pharmaceuticals,Health,GlobalData,Ireland,144,$103,,www.avadel.com,353 1 4851200,353 1 5261077,"Block 10-1, Blanchardstown Corporate Park, Ballycoolin",Dublin,Leinster,Ireland
Avanos Medical,Health,GlobalData,United States of America,"4,700",$652,,www.halyardhealth.com,1 844 4259273,,5405 Windward Parkway,Alpharetta,Georgia,United States of America
Avedro,Health,GlobalData,United States of America,122,$28,info@avedro.com,avedro.com,1 844 5283376,1 302 6555049,201 Jones Road,Waltham,Massachusetts,United States of America
Avenue Therapeutics,Health,GlobalData,United States of America,6,,info@avenuetx.com,dev.avenuetx.com,1 781 6524500,,"9th Floor
 
 , 2 Gansevoort Street",New York,New York,United States of America
AVEO Oncology,Health,GlobalData,United States of America,17,$5,,www.aveooncology.com,1 617 5881960,,"One Broadway, 14th Floor",Cambridge,Massachusetts,United States of America
Avery Therapeutics ,Health,JPM,,,,,,,,,,,
Avesthagen Limited,Health,JPM,,,,,,,,,,,
Aveta Biomics ,Health,JPM,,,,,,,,,,,
AveXis,Health,GlobalData,United States of America,219,,info@avexis.com,avexis.com,1 972 7257797,1 302 6555049,"Suite 160, 2275 Half Day Road",Bannockburn,Illinois,United States of America
Avid Bioservices,Health,GlobalData,United States of America,185,$54,,www.avidbio.com,1 714 5086100,1 714 8385817,"Suite 200
 
 , 2642 Michelle Drive",Tustin,California,United States of America
Avidity Biosciences,Health,JPM,,,,,,,,,,,
Aviragen Therapeutics ,Health,JPM,,,,,,,,,,,
Avitide,Health,JPM,,,,,,,,,,,
AVM Biotechnology,Health,JPM,,,,,,,,,,,
AVROBIO,Health,GlobalData,United States of America,58,,info@avrobio.com,www.avrobio.com,1 617 9148420,,"Suite 201, Building 300, One Kendall Square",Cambridge,Massachusetts,United States of America
Axcella Health,Health,GlobalData,United States of America,49,,info@axcellahealth.com,www.axcellahealth.com,1 857 3202200,1 617 4416243,840 Memorial Drive,Cambridge,Massachusetts,United States of America
AxoGen,Health,GlobalData,United States of America,278,$84,customercare@axogeninc.com,www.axogeninc.com,1 386 4626817,1 386 4626801,"Suite 400, 13631 Progress Boulevard",Alachua,Florida,United States of America
